# HELP UNIQUE_ID_SYSTEM Unique ID for the system
# TYPE UNIQUE_ID_SYSTEM gauge
UNIQUE_ID_SYSTEM{uuid="3ae8300b-eee9-4237-8b27-e9e9eef00304"} 1
# HELP active_proccess_list Total number of active proccesses
# TYPE active_proccess_list gauge
active_proccess_list 278
# HELP active_proccess_memory_usage Memory usage for each active proccess
# TYPE active_proccess_memory_usage gauge
active_proccess_memory_usage{pid="10204",process="svchost.exe"} 7.7890625
active_proccess_memory_usage{pid="10204",process="updater.exe"} 13.29296875
active_proccess_memory_usage{pid="10208",process="CredentialUIBroker.exe"} 63.453125
active_proccess_memory_usage{pid="10208",process="FileCoAuth.exe"} 16.32421875
active_proccess_memory_usage{pid="10208",process="RuntimeBroker.exe"} 10.29296875
active_proccess_memory_usage{pid="10208",process="TiWorker.exe"} 11.21875
active_proccess_memory_usage{pid="10208",process="TrustedInstaller.exe"} 7.734375
active_proccess_memory_usage{pid="10208",process="backgroundTaskHost.exe"} 36.23046875
active_proccess_memory_usage{pid="10208",process="conhost.exe"} 13.1015625
active_proccess_memory_usage{pid="10208",process="postgres.exe"} 12.44921875
active_proccess_memory_usage{pid="10208",process="svchost.exe"} 8.40625
active_proccess_memory_usage{pid="10208",process="updater.exe"} 12.9453125
active_proccess_memory_usage{pid="10212",process="FileCoAuth.exe"} 16.140625
active_proccess_memory_usage{pid="10212",process="PhoneExperienceHost.exe"} 147.62890625
active_proccess_memory_usage{pid="10212",process="TrustedInstaller.exe"} 7.67578125
active_proccess_memory_usage{pid="10212",process="WmiApSrv.exe"} 9.41796875
active_proccess_memory_usage{pid="10212",process="backgroundTaskHost.exe"} 18.59375
active_proccess_memory_usage{pid="10212",process="ksnproxy.exe"} 28.4765625
active_proccess_memory_usage{pid="10212",process="postgres.exe"} 14.32421875
active_proccess_memory_usage{pid="10212",process="svchost.exe"} 7.5625
active_proccess_memory_usage{pid="10212",process="updater.exe"} 12.96875
active_proccess_memory_usage{pid="10216",process="Defrag.exe"} 7.05078125
active_proccess_memory_usage{pid="10216",process="RuntimeBroker.exe"} 8.58984375
active_proccess_memory_usage{pid="10216",process="TiWorker.exe"} 11.2109375
active_proccess_memory_usage{pid="10216",process="TrustedInstaller.exe"} 7.66015625
active_proccess_memory_usage{pid="10216",process="Up2Date.exe"} 24.203125
active_proccess_memory_usage{pid="10216",process="WmiApSrv.exe"} 9.4375
active_proccess_memory_usage{pid="10216",process="backgroundTaskHost.exe"} 12.76953125
active_proccess_memory_usage{pid="10216",process="conhost.exe"} 13.0703125
active_proccess_memory_usage{pid="10216",process="gpupdate.exe"} 5.2265625
active_proccess_memory_usage{pid="10216",process="postgres.exe"} 14.140625
active_proccess_memory_usage{pid="10216",process="updater.exe"} 13.2578125
active_proccess_memory_usage{pid="10220",process="FileCoAuth.exe"} 16.19921875
active_proccess_memory_usage{pid="10220",process="RuntimeBroker.exe"} 10.2734375
active_proccess_memory_usage{pid="10220",process="TiWorker.exe"} 30.17578125
active_proccess_memory_usage{pid="10220",process="WmiApSrv.exe"} 9.47265625
active_proccess_memory_usage{pid="10220",process="audiodg.exe"} 11.7578125
